Timestamp,ShipmentID,PowerDraw_kW,Vibration_mm_s,CompressorCycles_per_hr,Failure_Likely
2023-01-02 08:15:00,S1000,4.38,0.53,8.55,False
2023-01-02 08:30:00,S1000,4.77,0.65,10.25,False
2023-01-02 08:45:00,S1000,4.48,0.6,9.95,False
2023-01-02 09:00:00,S1000,4.66,0.46,9.5,False
2023-01-02 09:15:00,S1000,4.27,0.49,9.12,False
2023-01-02 09:30:00,S1000,4.08,0.46,8.78,False
2023-01-02 09:45:00,S1000,4.66,0.56,9.76,False
2023-01-02 10:00:00,S1000,4.51,0.47,12.35,False
2023-01-02 10:15:00,S1000,4.65,0.48,9.13,False
2023-01-02 10:30:00,S1000,4.8,0.66,11.99,False
2023-01-02 10:45:00,S1000,4.15,0.44,9.73,False
2023-01-02 11:00:00,S1000,4.73,0.43,9.12,False
2023-01-02 11:15:00,S1000,4.75,0.54,9.2,False
2023-01-02 11:30:00,S1000,4.56,0.46,11.08,False
2023-01-02 11:45:00,S1000,4.9,0.48,8.73,False
2023-01-02 12:00:00,S1000,4.6,0.68,10.29,False
2023-01-02 12:15:00,S1000,4.52,0.49,9.67,False
2023-01-02 12:30:00,S1000,4.26,0.51,8.53,False
2023-01-02 12:45:00,S1000,4.59,0.49,10.54,False
2023-01-02 13:00:00,S1000,4.49,0.57,9.18,False
2023-01-02 13:15:00,S1000,4.57,0.47,8.41,False
2023-01-02 13:30:00,S1000,4.48,0.52,10.04,False
2023-01-02 13:45:00,S1000,4.59,0.55,11.91,False
2023-01-02 14:00:00,S1000,4.23,0.58,10.6,False
2023-01-02 14:15:00,S1000,4.42,0.35,10.59,False
2023-01-02 14:30:00,S1000,4.65,0.49,10.03,False
2023-01-02 14:45:00,S1000,4.61,0.44,9.41,False
2023-01-02 15:00:00,S1000,4.39,0.59,9.88,False
2023-01-02 15:15:00,S1000,4.51,0.52,10.32,False
2023-01-02 15:30:00,S1000,4.83,0.5,10.33,False
2023-01-02 15:45:00,S1000,4.35,0.53,9.78,False
2023-01-02 16:00:00,S1000,4.48,0.39,9.42,False
2023-01-02 16:15:00,S1000,4.51,0.61,9.78,False
2023-01-02 16:30:00,S1000,4.54,0.72,11.05,False
2023-01-02 16:45:00,S1000,4.7,0.52,9.29,False
2023-01-02 17:00:00,S1000,4.86,0.55,9.94,False
2023-01-02 17:15:00,S1000,4.46,0.61,9.45,False
2023-01-02 17:30:00,S1000,4.72,0.41,9.86,False
2023-01-02 17:45:00,S1000,4.72,0.51,9.64,False
2023-01-02 18:00:00,S1000,4.39,0.63,10.15,False
2023-01-02 18:15:00,S1000,4.48,0.53,8.88,False
2023-01-02 18:30:00,S1000,4.34,0.65,10.43,False
2023-01-02 18:45:00,S1000,4.54,0.51,8.86,False
2023-01-02 19:00:00,S1000,4.37,0.57,9.93,False
2023-01-02 19:15:00,S1000,4.21,0.54,11.58,False
2023-01-02 19:30:00,S1000,4.39,0.58,11.27,False
2023-01-02 19:45:00,S1000,4.53,0.81,10.48,False
2023-01-02 20:00:00,S1000,4.45,0.42,12.28,False
2023-01-02 20:15:00,S1000,4.33,0.51,9.75,False
2023-01-02 20:30:00,S1000,4.79,0.39,10.77,False
2023-01-02 20:45:00,S1000,4.52,0.56,10.58,False
2023-01-02 21:00:00,S1000,4.39,0.48,9.82,False
2023-01-02 21:15:00,S1000,4.52,0.53,10.16,False
2023-01-02 21:30:00,S1000,4.44,0.4,9.62,False
2023-01-02 21:45:00,S1000,4.54,0.49,10.95,False
2023-01-02 22:00:00,S1000,4.41,0.56,8.57,False
2023-01-02 22:15:00,S1000,4.45,0.56,10.74,False
2023-01-02 22:30:00,S1000,4.49,0.46,9.54,False
2023-01-02 22:45:00,S1000,4.48,0.4,10.71,False
2023-01-02 23:00:00,S1000,4.82,0.51,8.86,False
2023-01-02 23:15:00,S1000,4.6,0.59,9.79,False
2023-01-02 23:30:00,S1000,4.51,0.52,9.64,False
2023-01-02 23:45:00,S1000,4.49,0.38,9.9,False
2023-01-03 00:00:00,S1000,4.47,0.68,10.3,False
2023-01-03 00:15:00,S1000,4.46,0.46,11.28,False
2023-01-03 00:30:00,S1000,4.65,0.43,9.41,False
2023-01-03 00:45:00,S1000,4.45,0.45,8.1,False
2023-01-03 01:00:00,S1000,4.89,0.48,8.61,False
2023-01-03 01:15:00,S1000,4.23,0.42,9.86,False
2023-01-03 01:30:00,S1000,4.64,0.52,10.98,False
2023-01-03 01:45:00,S1000,4.44,0.37,10.01,False
2023-01-03 02:00:00,S1000,4.6,0.69,10.16,False
2023-01-03 02:15:00,S1000,4.17,0.5,10.33,False
2023-01-03 02:30:00,S1000,4.83,0.58,10.29,False
2023-01-03 02:45:00,S1000,4.47,0.28,12.81,False
2023-01-03 03:00:00,S1000,4.51,0.5,9.87,False
2023-01-03 03:15:00,S1000,4.39,0.24,8.38,False
2023-01-03 03:30:00,S1000,4.36,0.5,10.16,False
2023-01-03 03:45:00,S1000,4.27,0.48,11.94,False
2023-01-03 04:00:00,S1000,4.18,0.49,10.63,False
2023-01-03 04:15:00,S1000,4.38,0.59,10.91,False
2023-01-03 04:30:00,S1000,4.57,0.49,9.49,False
2023-01-03 04:45:00,S1000,4.67,0.54,10.54,False
2023-01-03 05:00:00,S1000,4.55,0.53,10.61,False
2023-01-03 05:15:00,S1000,4.51,0.46,10.45,False
2023-01-03 05:30:00,S1000,4.7,0.52,10.63,False
2023-01-03 05:45:00,S1000,4.38,0.58,11.69,False
2023-01-03 06:00:00,S1000,4.39,0.58,10.18,False
2023-01-03 06:15:00,S1000,4.57,0.48,11.18,False
2023-01-03 06:30:00,S1000,4.71,0.28,10.18,False
2023-01-03 06:45:00,S1000,3.98,0.46,8.94,False
2023-01-03 07:00:00,S1000,4.62,0.58,9.01,False
2023-01-03 07:15:00,S1000,4.77,0.58,11.03,False
2023-01-03 07:30:00,S1000,4.35,0.52,9.66,False
2023-01-03 07:45:00,S1000,4.3,0.45,9.24,False
2023-01-03 08:00:00,S1000,4.71,0.45,9.74,False
2023-01-03 08:15:00,S1000,4.67,0.43,9.42,False
2023-01-03 08:30:00,S1000,4.51,0.41,10.78,False
2023-01-03 08:45:00,S1000,4.43,0.46,7.62,False
2023-01-03 09:00:00,S1000,4.23,0.47,9.82,False
2023-01-03 09:15:00,S1000,4.85,0.62,8.82,False
2023-01-03 09:30:00,S1000,4.35,0.62,9.1,False
2023-01-03 09:45:00,S1000,4.82,0.49,9.23,False
2023-01-03 10:00:00,S1000,4.69,0.55,9.11,False
2023-01-03 10:15:00,S1000,4.42,0.38,8.5,False
2023-01-03 10:30:00,S1000,4.63,0.39,10.06,False
2023-01-03 10:45:00,S1000,4.48,0.39,10.99,False
2023-01-03 11:00:00,S1000,4.23,0.56,9.9,False
2023-01-03 11:15:00,S1000,4.44,0.41,8.42,False
2023-01-03 11:30:00,S1000,4.78,0.52,7.56,False
2023-01-03 11:45:00,S1000,4.8,0.5,10.09,False
2023-01-03 12:00:00,S1000,4.45,0.55,11.46,False
2023-01-03 12:15:00,S1000,4.8,0.58,10.99,False
2023-01-03 12:30:00,S1000,4.81,0.49,10.91,False
2023-01-03 12:45:00,S1000,4.25,0.47,7.88,False
2023-01-03 13:00:00,S1000,4.55,0.57,10.97,False
2023-01-03 13:15:00,S1000,4.54,0.44,10.94,False
2023-01-03 13:30:00,S1000,4.4,0.55,8.5,False
2023-01-03 13:45:00,S1000,4.38,0.41,8.73,False
2023-01-03 14:00:00,S1000,4.59,0.43,11.14,False
2023-01-03 14:15:00,S1000,4.12,0.44,8.24,False
2023-01-03 14:30:00,S1000,4.48,0.44,10.06,False
2023-01-03 14:45:00,S1000,4.58,0.34,8.6,False
2023-01-03 15:00:00,S1000,4.47,0.51,11.36,False
2023-01-03 15:15:00,S1000,4.48,0.45,9.77,False
2023-01-03 15:30:00,S1000,4.42,0.51,10.96,False
2023-01-03 15:45:00,S1000,4.3,0.53,9.76,False
2023-01-03 16:00:00,S1000,4.87,0.53,8.88,False
2023-01-03 16:15:00,S1000,4.63,0.5,11.31,False
2023-01-03 16:30:00,S1000,4.09,0.47,10.37,False
2023-01-03 16:45:00,S1000,4.33,0.6,7.7,False
2023-01-03 17:00:00,S1000,4.52,0.44,9.31,False
2023-01-03 17:15:00,S1000,4.54,0.59,10.67,False
2023-01-03 17:30:00,S1000,4.63,0.47,9.76,False
2023-01-03 17:45:00,S1000,4.68,0.74,10.34,False
2023-01-03 18:00:00,S1000,4.5,0.39,10.81,False
2023-01-03 18:15:00,S1000,4.68,0.45,10.39,False
2023-01-03 18:30:00,S1000,4.39,0.63,10.95,False
2023-01-03 18:45:00,S1000,4.6,0.58,9.67,False
2023-01-03 19:00:00,S1000,4.42,0.56,9.77,False
2023-01-03 19:15:00,S1000,4.56,0.45,10.97,False
2023-01-03 19:30:00,S1000,4.23,0.51,11.17,False
2023-01-03 19:45:00,S1000,4.39,0.46,8.58,False
2023-01-03 20:00:00,S1000,4.47,0.38,9.03,False
2023-01-03 20:15:00,S1000,4.42,0.54,10.88,False
2023-01-03 20:30:00,S1000,4.54,0.49,10.32,False
2023-01-03 20:45:00,S1000,4.8,0.48,11.61,False
2023-01-03 21:00:00,S1000,4.72,0.5,11.5,False
2023-01-03 21:15:00,S1000,4.56,0.46,10.09,False
2023-01-03 21:30:00,S1000,4.27,0.31,8.85,False
2023-01-03 21:45:00,S1000,4.55,0.41,10.69,False
2023-01-03 22:00:00,S1000,4.95,0.24,10.72,False
2023-01-03 22:15:00,S1000,4.28,0.47,11.17,False
2023-01-03 22:30:00,S1000,4.32,0.24,10.7,False
2023-01-03 22:45:00,S1000,4.72,0.52,7.98,False
2023-01-03 23:00:00,S1000,4.5,0.45,9.02,False
2023-01-03 23:15:00,S1000,4.53,0.4,11.27,False
2023-01-03 23:30:00,S1000,4.51,0.54,9.29,False
2023-01-03 23:45:00,S1000,4.24,0.37,9.71,False
2023-01-04 00:00:00,S1000,4.48,0.47,10.7,False
2023-01-04 00:15:00,S1000,4.72,0.49,9.16,False
2023-01-04 00:30:00,S1000,5.1,0.55,7.75,False
2023-01-04 00:45:00,S1000,4.47,0.56,9.23,False
2023-01-04 01:00:00,S1000,4.7,0.52,10.82,False
2023-01-04 01:15:00,S1000,4.54,0.42,10.89,False
2023-01-04 01:30:00,S1000,4.73,0.39,9.27,False
2023-01-04 01:45:00,S1000,4.66,0.5,10.18,False
2023-01-04 02:00:00,S1000,4.43,0.55,9.75,False
2023-01-04 02:15:00,S1000,4.34,0.39,8.27,False
2023-01-04 02:30:00,S1000,4.39,0.38,10.07,False
2023-01-04 02:45:00,S1000,4.19,0.46,11.03,False
2023-01-04 03:00:00,S1000,4.53,0.48,8.66,False
2023-01-04 03:15:00,S1000,4.27,0.4,10.91,False
2023-01-04 03:30:00,S1000,4.33,0.53,11.03,False
2023-01-04 03:45:00,S1000,4.32,0.48,10.76,False
2023-01-04 04:00:00,S1000,4.67,0.44,9.84,False
2023-01-04 04:15:00,S1000,4.59,0.6,9.39,False
2023-01-04 04:30:00,S1000,4.5,0.39,10.35,False
2023-01-04 04:45:00,S1000,4.74,0.49,10.7,False
2023-01-04 05:00:00,S1000,4.69,0.48,9.24,False
2023-01-04 05:15:00,S1000,4.79,0.55,11.12,False
2023-01-04 05:30:00,S1000,4.74,0.44,11.19,False
2023-01-04 05:45:00,S1000,4.46,0.42,10.39,False
2023-01-04 06:00:00,S1000,4.76,0.58,10.6,False
2023-01-04 06:15:00,S1000,4.54,0.54,10.96,False
2023-01-04 06:30:00,S1000,4.88,0.67,8.58,False
2023-01-04 06:45:00,S1000,4.26,0.45,11.31,False
2023-01-04 07:00:00,S1000,4.67,0.47,9.46,False
2023-01-04 07:15:00,S1000,4.66,0.57,9.16,False
2023-01-04 07:30:00,S1000,4.59,0.52,9.49,False
2023-01-04 07:45:00,S1000,4.64,0.5,10.03,False
2023-01-04 08:00:00,S1000,4.79,0.55,10.8,False
2023-01-04 08:15:00,S1000,4.76,0.45,11.03,False
2023-01-04 08:30:00,S1000,4.81,0.57,10.07,False
2023-01-04 08:45:00,S1000,4.47,0.35,9.24,False
2023-01-04 09:00:00,S1000,5.03,0.7,10.89,False
2023-01-04 09:15:00,S1000,4.85,0.65,10.76,False
2023-01-04 09:30:00,S1000,4.58,0.46,9.23,False
2023-01-04 09:45:00,S1000,4.42,0.59,10.68,False
2023-01-04 10:00:00,S1000,4.28,0.45,12.35,False
2023-01-04 10:15:00,S1000,4.33,0.48,10.5,False
2023-01-04 10:30:00,S1000,4.57,0.58,9.96,False
2023-01-04 10:45:00,S1000,4.76,0.47,8.62,False
2023-01-04 11:00:00,S1000,4.42,0.5,11.32,False
2023-01-04 11:15:00,S1000,4.45,0.49,8.0,False
2023-01-04 11:30:00,S1000,4.5,0.63,10.27,False
2023-01-04 11:45:00,S1000,4.5,0.41,9.64,False
2023-01-04 12:00:00,S1000,4.41,0.55,10.24,False
2023-01-04 12:15:00,S1000,4.34,0.59,8.89,False
2023-01-04 12:30:00,S1000,4.45,0.6,10.03,False
2023-01-04 12:45:00,S1000,4.38,0.48,8.06,False
2023-01-04 13:00:00,S1000,4.4,0.62,11.35,False
2023-01-04 13:15:00,S1000,4.7,0.42,11.02,False
2023-01-04 13:30:00,S1000,4.62,0.62,9.01,False
2023-01-04 13:45:00,S1000,4.5,0.33,9.07,False
2023-01-04 14:00:00,S1000,4.51,0.45,9.4,False
2023-01-04 14:15:00,S1000,4.75,0.46,10.73,False
2023-01-04 14:30:00,S1000,4.55,0.42,9.68,False
2023-01-04 14:45:00,S1000,4.32,0.56,9.92,False
2023-01-04 15:00:00,S1000,4.71,0.33,10.66,False
2023-01-04 15:15:00,S1000,4.29,0.49,9.58,False
2023-01-04 15:30:00,S1000,4.64,0.51,8.43,False
2023-01-04 15:45:00,S1000,4.2,0.65,11.5,False
2023-01-04 16:00:00,S1000,4.33,0.58,11.51,False
2023-01-04 16:15:00,S1000,4.36,0.42,9.65,False
2023-01-04 16:30:00,S1000,4.6,0.45,10.81,False
2023-01-04 16:45:00,S1000,4.57,0.46,9.24,False
2023-01-04 17:00:00,S1000,4.42,0.24,10.63,False
2023-01-04 17:15:00,S1000,4.2,0.54,9.84,False
2023-01-04 17:30:00,S1000,4.26,0.62,11.12,False
2023-01-04 17:45:00,S1000,4.57,0.4,10.36,False
2023-01-04 18:00:00,S1000,4.45,0.64,10.24,False
2023-01-04 18:15:00,S1000,4.21,0.39,10.41,False
2023-01-04 18:30:00,S1000,4.52,0.53,11.63,False
2023-01-04 18:45:00,S1000,4.47,0.51,9.21,False
2023-01-04 19:00:00,S1000,4.58,0.69,9.68,False
2023-01-04 19:15:00,S1000,4.46,0.49,9.38,False
2023-01-04 19:30:00,S1000,4.39,0.56,10.44,False
2023-01-04 19:45:00,S1000,4.76,0.39,10.58,False
2023-01-04 20:00:00,S1000,4.56,0.49,11.59,False
2023-01-04 20:15:00,S1000,4.18,0.39,10.22,False
2023-01-04 20:30:00,S1000,4.78,0.51,10.43,False
2023-01-04 20:45:00,S1000,4.33,0.43,8.0,False
2023-01-04 21:00:00,S1000,4.16,0.56,8.66,False
2023-01-04 21:15:00,S1000,4.48,0.46,10.17,False
2023-01-04 21:30:00,S1000,4.38,0.53,9.99,False
2023-01-04 21:45:00,S1000,4.56,0.37,8.7,False
2023-01-04 22:00:00,S1000,4.38,0.48,10.56,False
2023-01-04 22:15:00,S1000,4.48,0.47,9.27,False
2023-01-04 22:30:00,S1000,4.64,0.51,9.98,False
2023-01-04 22:45:00,S1000,4.43,0.16,11.06,False
2023-01-04 23:00:00,S1000,4.47,0.59,10.18,False
2023-01-04 23:15:00,S1000,4.28,0.38,9.37,False
2023-01-04 23:30:00,S1000,4.72,0.41,10.61,False
2023-01-04 23:45:00,S1000,4.71,0.51,10.33,False
2023-01-05 00:00:00,S1000,4.58,0.41,10.42,False
2023-01-05 00:15:00,S1000,4.35,0.54,9.45,False
2023-01-05 00:30:00,S1000,4.62,0.39,9.78,False
2023-01-05 00:45:00,S1000,4.84,0.5,7.4,False
2023-01-05 01:00:00,S1000,4.51,0.59,9.48,False
2023-01-05 01:15:00,S1000,4.68,0.43,12.54,False
2023-01-05 01:30:00,S1000,4.39,0.6,10.24,False
2023-01-05 01:45:00,S1000,4.87,0.38,11.04,False
2023-01-05 02:00:00,S1000,4.29,0.46,10.7,False
2023-01-05 02:15:00,S1000,4.46,0.54,9.61,False
2023-01-05 02:30:00,S1000,4.34,0.41,8.38,False
2023-01-05 02:45:00,S1000,4.41,0.53,10.02,False
2023-01-05 03:00:00,S1000,4.56,0.62,9.0,False
2023-01-05 03:15:00,S1000,4.74,0.5,9.31,False
2023-01-05 03:30:00,S1000,4.35,0.61,9.12,False
2023-01-05 03:45:00,S1000,4.46,0.46,9.49,False
2023-01-05 04:00:00,S1000,4.77,0.58,9.81,False
2023-01-05 04:15:00,S1000,4.68,0.55,11.14,False
2023-01-05 04:30:00,S1000,4.63,0.61,11.14,False
2023-01-05 04:45:00,S1000,4.22,0.4,10.67,False
2023-01-05 05:00:00,S1000,4.8,0.52,10.74,False
2023-01-05 05:15:00,S1000,4.56,0.39,9.86,False
2023-01-05 05:30:00,S1000,4.59,0.48,11.88,False
2023-01-05 05:45:00,S1000,4.06,0.58,8.43,False
2023-01-05 06:00:00,S1000,4.64,0.57,9.62,False
2023-01-05 06:15:00,S1000,4.66,0.61,10.54,False
2023-01-05 06:30:00,S1000,4.41,0.57,10.24,False
2023-01-05 06:45:00,S1000,4.84,0.7,9.0,False
2023-01-05 07:00:00,S1000,4.29,0.46,9.73,False
2023-01-05 07:15:00,S1000,4.34,0.53,9.81,False
2023-01-05 07:30:00,S1000,4.46,0.45,9.87,False
2023-01-05 07:45:00,S1000,4.41,0.45,10.97,False
2023-01-05 08:00:00,S1000,4.41,0.51,9.09,False
2023-01-05 08:15:00,S1000,4.69,0.67,10.47,False
2023-01-05 08:30:00,S1000,4.39,0.47,9.02,False
2023-01-05 08:45:00,S1000,4.03,0.4,9.44,False
2023-01-05 09:00:00,S1000,4.59,0.39,9.67,False
2023-01-05 09:15:00,S1000,4.69,0.44,9.31,False
2023-01-05 09:30:00,S1000,4.86,0.56,9.72,False
2023-01-05 09:45:00,S1000,4.27,0.41,11.89,False
2023-01-05 10:00:00,S1000,4.4,0.63,9.58,False
2023-01-05 10:15:00,S1000,4.5,0.5,11.4,False
2023-01-05 10:30:00,S1000,4.49,0.5,8.09,False
2023-01-05 10:45:00,S1000,4.35,0.62,9.63,False
2023-01-05 11:00:00,S1000,4.7,0.63,9.71,False
2023-01-05 11:15:00,S1000,4.5,0.47,12.21,False
2023-01-05 11:30:00,S1000,4.5,0.34,10.28,False
2023-01-05 11:45:00,S1000,4.69,0.42,7.8,False
2023-01-05 12:00:00,S1000,4.69,0.52,10.05,False
2023-01-05 12:15:00,S1000,4.52,0.54,11.59,False
2023-01-05 12:30:00,S1000,4.52,0.49,8.66,False
2023-01-05 12:45:00,S1000,4.9,0.69,9.64,False
2023-01-05 13:00:00,S1000,4.82,0.42,11.87,False
2023-01-05 13:15:00,S1000,4.27,0.39,9.45,False
2023-01-05 13:30:00,S1000,4.33,0.49,9.16,False
2023-01-05 13:45:00,S1000,4.53,0.52,10.03,False
2023-01-05 14:00:00,S1000,4.41,0.5,9.6,False
2023-01-05 14:15:00,S1000,4.27,0.76,9.62,False
2023-01-05 14:30:00,S1000,4.34,0.45,11.32,False
2023-01-05 14:45:00,S1000,4.42,0.41,8.09,False
2023-01-05 15:00:00,S1000,4.69,0.34,10.36,False
2023-01-05 15:15:00,S1000,4.4,0.43,9.32,False
2023-01-05 15:30:00,S1000,4.34,0.44,9.92,False
2023-01-05 15:45:00,S1000,4.49,0.51,9.37,False
